frame_idx,x,y,z,r00,r01,r02,r10,r11,r12,r20,r21,r22
0,-0.00652686,-0.00052872,0.17283400,0.99989419,-0.00064243,-0.01453245,0.00073620,0.99997894,0.00644849,0.01452800,-0.00645851,0.99987360
1,-0.00650623,-0.00062891,0.17159900,0.99989414,-0.00063466,-0.01453622,0.00072842,0.99997896,0.00644594,0.01453183,-0.00645585,0.99987357
2,-0.00649167,-0.00072691,0.17057200,0.99989398,-0.00062867,-0.01454784,0.00072226,0.99997907,0.00642897,0.01454349,-0.00643879,0.99987351
3,-0.00640497,-0.00105878,0.16613300,0.99989437,-0.00060030,-0.01452214,0.00069352,0.99997918,0.00641556,0.01451799,-0.00642496,0.99987397
4,-0.00642896,-0.00125854,0.16631100,0.99989334,-0.00060487,-0.01459236,0.00069813,0.99997936,0.00638669,0.01458820,-0.00639619,0.99987313
5,-0.00633633,-0.00154478,0.16260400,0.99989448,-0.00058130,-0.01451508,0.00067380,0.99997949,0.00636844,0.01451108,-0.00637755,0.99987437
6,-0.00632713,-0.00155851,0.16200900,0.99989418,-0.00058145,-0.01453583,0.00067403,0.99997951,0.00636524,0.01453183,-0.00637436,0.99987409
7,-0.00632226,-0.00155884,0.16247100,0.99989441,-0.00058193,-0.01451984,0.00067444,0.99997950,0.00636738,0.01451583,-0.00637650,0.99987431
8,-0.00632225,-0.00156718,0.16288200,0.99989444,-0.00058272,-0.01451770,0.00067495,0.99997962,0.00634871,0.01451370,-0.00635784,0.99987446
9,-0.00631913,-0.00157274,0.16314000,0.99989447,-0.00058312,-0.01451613,0.00067524,0.99997966,0.00634233,0.01451214,-0.00635146,0.99987452
10,-0.00631341,-0.00157495,0.16328100,0.99989454,-0.00058359,-0.01451126,0.00067571,0.99997965,0.00634445,0.01450726,-0.00635359,0.99987458
11,-0.00630739,-0.00157875,0.16335500,0.99989459,-0.00058393,-0.01450744,0.00067607,0.99997963,0.00634711,0.01450344,-0.00635625,0.99987462
12,-0.00630180,-0.00158567,0.16339300,0.99989458,-0.00058445,-0.01450804,0.00067651,0.99997966,0.00634179,0.01450404,-0.00635093,0.99987464
13,-0.00629594,-0.00159044,0.16341200,0.99989458,-0.00058445,-0.01450804,0.00067651,0.99997966,0.00634179,0.01450404,-0.00635093,0.99987464
14,-0.00629015,-0.00159345,0.16342100,0.99989458,-0.00058514,-0.01450804,0.00067726,0.99997964,0.00634550,0.01450403,-0.00635466,0.99987462
15,-0.00628169,-0.00160311,0.16342400,0.99989465,-0.00058576,-0.01450340,0.00067770,0.99997971,0.00633484,0.01449940,-0.00634400,0.99987475
16,-0.00627217,-0.00161005,0.16342200,0.99989476,-0.00058620,-0.01449540,0.00067804,0.99997973,0.00633164,0.01449140,-0.00634080,0.99987489
17,-0.00626602,-0.00161619,0.16341600,0.99989478,-0.00058664,-0.01449434,0.00067841,0.99997975,0.00632738,0.01449034,-0.00633654,0.99987493
18,-0.00625701,-0.00162444,0.16341900,0.99989487,-0.00058715,-0.01448778,0.00067878,0.99997980,0.00632046,0.01448378,-0.00632963,0.99987507
19,-0.00625175,-0.00162909,0.16342100,0.99989487,-0.00058715,-0.01448778,0.00067878,0.99997980,0.00632046,0.01448378,-0.00632963,0.99987507
20,-0.00624819,-0.00163026,0.16343000,0.99989472,-0.00058778,-0.01449851,0.00067964,0.99997972,0.00633163,0.01449449,-0.00634081,0.99987484
