frame_idx,x,y,z,r00,r01,r02,r10,r11,r12,r20,r21,r22
0,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000
1,0.00114012,0.00341856,0.00898691,0.99999999,-0.00002591,-0.00012883,0.00002612,0.99999860,0.00167315,0.00012878,-0.00167315,0.99999859
2,0.00034498,-0.00014864,0.00097309,0.99999989,0.00045676,-0.00012153,-0.00045636,0.99999455,0.00327022,0.00012302,-0.00327017,0.99999465
3,-0.00021317,0.00525296,0.00860417,0.99999962,0.00084296,0.00022301,-0.00084370,0.99999413,0.00332005,-0.00022021,-0.00332023,0.99999446
4,0.00066427,0.00815234,0.01535051,0.99999974,0.00070340,0.00015774,-0.00070386,0.99999538,0.00295697,-0.00015566,-0.00295708,0.99999562
5,-0.00048307,0.00715447,0.00784487,0.99999963,0.00081225,0.00027194,-0.00081312,0.99999448,0.00322066,-0.00026932,-0.00322088,0.99999478
6,0.00020826,0.00594753,0.00187443,0.99999985,0.00053568,0.00009724,-0.00053599,0.99999472,0.00320484,-0.00009553,-0.00320490,0.99999486
7,0.00500851,-0.00254794,-0.00063951,0.99999891,-0.00056174,-0.00136675,0.00056967,0.99998299,0.00580561,0.00136347,-0.00580638,0.99998221
8,0.00570011,-0.00380019,-0.00728167,0.99999833,-0.00089102,-0.00159631,0.00090022,0.99998292,0.00577523,0.00159114,-0.00577666,0.99998205
9,0.00416078,-0.00151762,-0.00001716,0.99999912,-0.00049744,-0.00123165,0.00050431,0.99998429,0.00558243,0.00122885,-0.00558305,0.99998366
10,0.00206329,-0.00515371,-0.00419007,0.99999965,0.00030668,-0.00077418,-0.00030195,0.99998137,0.00609643,0.00077604,-0.00609619,0.99998112
11,0.00296526,-0.00730991,-0.01104865,0.99999951,0.00005642,-0.00098463,-0.00005018,0.99997996,0.00633125,0.00098497,-0.00633119,0.99997947
12,0.00237441,-0.00361085,-0.00314108,0.99999967,0.00019270,-0.00078564,-0.00018799,0.99998206,0.00598671,0.00078678,-0.00598656,0.99998177
13,0.00404751,-0.00747828,-0.00937056,0.99999934,-0.00032883,-0.00109792,0.00033591,0.99997913,0.00645235,0.00109578,-0.00645272,0.99997858
14,0.00637411,-0.00227726,-0.00920599,0.99999784,-0.00096847,-0.00183954,0.00097689,0.99998904,0.00457988,0.00183508,-0.00458167,0.99998782
15,0.00657715,-0.00417391,-0.01479894,0.99999747,-0.00106296,-0.00198058,0.00107226,0.99998839,0.00469848,0.00197556,-0.00470059,0.99998700
16,0.00713062,-0.00578482,-0.02171274,0.99999705,-0.00118649,-0.00212174,0.00119641,0.99998833,0.00468002,0.00211617,-0.00468254,0.99998680
17,0.00560675,-0.00385420,-0.01333511,0.99999794,-0.00083233,-0.00184883,0.00084090,0.99998887,0.00464287,0.00184494,-0.00464442,0.99998751
18,0.00506357,-0.00086461,-0.00761465,0.99999872,-0.00054435,-0.00150554,0.00055088,0.99999043,0.00433930,0.00150316,-0.00434012,0.99998945
19,0.00603216,-0.00493524,-0.01678428,0.99999792,-0.00098643,-0.00178539,0.00099474,0.99998867,0.00465557,0.00178078,-0.00465733,0.99998757
20,0.00658175,-0.00687271,-0.02217943,0.99999717,-0.00126301,-0.00201739,0.00127260,0.99998787,0.00475838,0.00201135,-0.00476093,0.99998664
